Segment	Family			Model	capacity		RPM		Interface		Buffer size	Sector size
Desktop	F1DT			HD251HJ	 320	7200	SATA 3.0 Gbps	8		512
Desktop	F3  			HD164GJ	 320	7200	SATA 3.0 Gbps	8		512
Desktop	F1DT			HD162GJ	 320	7200	SATA 3.0 Gbps	16		512
Desktop	F1EG			HD322HI	 320	????	SATA 3.0 Gbps	16		512
Desktop	F3  			HD253GJ	 320	7200	SATA 3.0 Gbps	16		512
Desktop	F3EG			HD324HI	 320	????	SATA 3.0 Gbps	16		512


Mobile	M7				HM320II	 320	5400	SATA 3.0 Gbps	8		512
Mobile	M8				HN-M320MBB	320	5400	SATA 3.0 Gbps	8
Mobile	MP4				HM320HJ	320		7200	SATA 3.0 Gbps	16
Desktop	F4				HD322GJ	320		7200	SATA 3.4 Gbps	16		512

Mobile	M7				HM400JI	 400	5400	SATA 3.0 Gbps	8		512
Mobile	 M7 			HM400HI	 400	5400	SATA 3.0 Gbps	8		512

Mobile	 M7U			HM502JX	 500	5400	USB 2.0			8		512
Mobile	 M7 (Enhanced)	HM501JI	 500	5400	SATA 3.0 Gbps	8		512
Mobile	 M7 			HM500JI	 500	5400	SATA 3.0 Gbps	8		512
Mobile	M7				HM500JI	 500	5400	SATA 3.0 Gbps	8		512
Mobile	M7e				HM501II	 500	5400	SATA 3.0 Gbps	8		512
Mobile	M8				HN-M500MBB	500	5400	SATA 3.0 Gbps	8
Mobile	MP4				HM500JJ	500		7200	SATA 3.0 Gbps	16
Desktop	F3  			HD254GJ	 500	7200	SATA 3.0 Gbps	8		512
Desktop	F1DT			HD252HJ	 500	7200	SATA 3.0 Gbps	16		512
Desktop	F1EG			HD502JI	 500	????	SATA 3.0 Gbps	16		512
Desktop	F2EG			HD502HI	 500	????	SATA 3.0 Gbps	16		512
Desktop	F3  			HD323HJ	 500	7200	SATA 3.0 Gbps	16		512
Desktop	F3EG			HD503HI	 500	????	SATA 3.0 Gbps	16		512

