model		interface	capacity		buffer_size	rpm
WD5000LPCX	SATA 6 Gb/s	 500.107		16	5400
WD3200LPVX	SATA 6 Gb/s	 320.072		8	5400
WD3200LPCX	SATA 6 Gb/s	 320.072		16	5400
WD2500LPVX	SATA 6 Gb/s	 250.059		8	5400
WD2500LPCX	SATA 6 Gb/s	 250.059		16	5400

WD05PURX	SATA 6 Gb/s	 500			64	5400
WD05PURZ	SATA 6 Gb/s	 500			64	5400
WD10PURX	SATA 6 Gb/s	1000.204		64	5400
WD10PURZ	SATA 6 Gb/s	1000.204		64	5400
WD20PURX	SATA 6 Gb/s	2000.802		64	5400
WD20PURZ	SATA 6 Gb/s	2000.802		64	5400
WD30PURX	SATA 6 Gb/s	3000.592		64	5400
WD30PURZ	SATA 6 Gb/s	3000			64	5400
WD40PURX	SATA 6 Gb/s	4000			64	5400
WD40PURZ	SATA 6 Gb/s	4000			64	5400
WD50PURX	SATA 6 Gb/s	5000			64	5400
WD60PURX	SATA 6 Gb/s	6000			64	5400
WD60PURZ	SATA 6 Gb/s	6000			64	5400
WD80PURZ	SATA 6 Gb/s	8000			128	5400
WD80PUZX	SATA 6 Gb/s	8000			128	5400
WD81PURZ	SATA 6 Gb/s	8000 			256	5400
WD100PURZ	SATA 6 Gb/s	10000 			256	5400
WD121PURZ	SATA 6 Gb/s	12000 			256	7200
WD101PURZ	SATA 6 Gb/s	10000 			256	7200

WD1000DHTZ	SATA 6 Gb/s	1000.204		64	10000

WD4001FFSX	SATA 6 Gb/s	4000			64	7200
WD3001FFSX	SATA 6 Gb/s	3000.592		64	7200
WD2001FFSX	SATA 6 Gb/s	2000.802		64	7200

WD5000HHTZ	SATA 6 Gb/s	 500			64	10000
WD2500HHTZ	SATA 6 Gb/s	 250			64	10000

WD6000HLHX	SATA 6 Gb/s	 600			32	10000
WD4500HLHX	SATA 6 Gb/s	 450			32	10000
WD3000HLHX	SATA 6 Gb/s	 300			??	10000
WD1500HLHX	SATA 6 Gb/s	 150			??	10000

WD1500ADFD	SATA 1.5 Gb/s	150			16	10000
WD740ADFD	SATA 1.5 Gb/s	 74			16	10000
WD360ADFD	SATA 1.5 Gb/s	 36			16	10000

WD2002FYPS	SATA 3 Gb/s		2000.802	64	????
WD1502FYPS	SATA 3 Gb/s		1500		64	????


WD100EFAX	SATA 6 Gb/s	10000			256	5400
WD80EFZX	SATA 6 Gb/s	8000			128	5400

WD60EFRX	SATA 6 Gb/s	6000			64	5400
WD50EFRX	SATA 6 Gb/s	5000			64	5400
WD40EFRX	SATA 6 Gb/s	4000			64	5400
WD30EFRX	SATA 6 Gb/s	3000.592		64	5400
WD20EFRX	SATA 6 Gb/s	2000.802		64	5400
WD10EFRX	SATA 6 Gb/s	1000.204		64	5400

WD10JFCX	SATA 6 Gb/s	1000.204		16	5400
WD7500BFCX	SATA 6 Gb/s	 750			16	5400

WD101KFBX	SATA 6 Gb/s	10000			256	7200
WD4003FFBX	SATA 6 Gb/s	4000			256	7200
WD6003FFBX	SATA 6 Gb/s	6000			256	7200
WD8003FFBX	SATA 6 Gb/s	8000			256	7200
WD8001FFWX	SATA 6 Gb/s	8000			128	7200
WD6002FFWX	SATA 6 Gb/s	6000			128	7200
WD4002FFWX	SATA 6 Gb/s	4000			128	7200
WD2002FFSX	SATA 6 Gb/s	2000.802		64	7200

WD1003FBYZ	SATA 6 Gb/s	1000.204		64	7200
WD5003ABYZ	SATA 6 Gb/s	 500			64	7200
WD2503ABYZ	SATA 6 Gb/s	 251			64	7200


WD6NPURX	SATA 6 Gb/s	6000			64	????
WD4NPURX	SATA 6 Gb/s	4000			64	????


WD40E31X	SATA 6 Gb/s	4000			64	????
WD10J31X	SATA 6 Gb/s	1000.204		64	????


WD4000FYYZ	SATA 6 Gb/s	4000			64	7200
WD3000FYYZ	SATA 6 Gb/s	3000.592		64	7200
WD2000FYYZ	SATA 6 Gb/s	2000.802		64	7200
WD2004FBYZ	SATA 6 Gb/s	2000.802		128	7200
WD1004FBYZ	SATA 6 Gb/s	1000.204		128	7200

WD121KRYZ	SATA 6 Gb/s	12000.138625024	256	7200
WD101KRYZ	SATA 6 Gb/s	10000.831348736	256	7200
WD8003FRYZ	SATA 6 Gb/s	8001.563222016	256	7200
WD8002FRYZ	SATA 6 Gb/s	8001.563222016	128	7200
WD6002FRYZ	SATA 6 Gb/s	6001.175126016	128	7200
WD4002FYYZ	SATA 6 Gb/s	4000			128	7200
WD2005FBYZ	SATA 6 Gb/s	2000.802		128	7200
